Top_Left,Top_Center,Top_Right,Side_Right,Bottom_Center,Side_Left,Steering,Throttle
103,0,0,0,0,90,24,141
0,0,0,0,0,0,88,142
108,0,0,0,98,0,89,140
0,0,0,0,0,0,89,141
0,0,0,0,0,0,88,141
0,0,0,0,0,0,88,142
0,0,0,0,0,0,79,141
0,0,0,0,0,0,88,141
0,0,0,0,0,0,88,141
0,0,0,0,0,0,88,141
0,0,0,0,0,108,88,140
0,229,0,0,90,0,89,140
0,180,0,0,0,0,108,140
84,90,112,0,0,106,1,139
95,83,86,0,94,79,4,140
71,118,0,0,0,56,10,138
58,0,0,0,98,45,64,140
93,0,0,0,94,68,67,140
109,0,0,0,0,115,67,140
129,0,0,0,112,72,91,139
98,0,0,0,0,81,114,139
100,0,0,0,0,112,89,139
82,0,0,0,0,72,91,139
103,116,0,0,0,61,90,137
108,132,0,0,0,66,90,141
107,0,253,0,0,51,89,140
110,201,198,0,0,82,74,138
178,145,149,205,96,118,3,142
109,109,0,0,204,82,30,139
107,104,0,0,0,82,44,141
115,0,0,0,0,0,89,141
0,0,0,0,0,84,92,144
0,0,0,0,0,101,89,144
0,0,0,0,0,0,91,147
0,0,0,0,83,0,91,146
0,0,96,0,0,0,89,147
0,0,0,0,0,0,91,146
0,0,0,0,0,0,90,147
0,0,0,0,0,0,91,147
0,0,0,0,0,0,90,146
0,0,0,0,0,0,88,146
0,0,0,201,0,0,89,146
0,202,206,0,0,0,74,145
91,99,0,0,103,65,28,145
84,113,0,0,0,54,72,144
67,99,98,0,98,42,89,145
85,255,0,0,94,40,85,142
109,129,0,0,107,84,59,142
0,0,0,0,167,64,30,145
0,0,0,0,0,82,144,144
0,0,0,0,90,100,160,144
0,0,0,0,0,112,118,145
178,0,0,0,0,112,89,142
0,0,0,0,0,114,89,144
0,0,0,0,86,128,20,143
0,0,0,0,0,0,12,144
106,0,0,0,198,0,12,144
0,0,0,0,91,0,12,143
0,0,0,0,85,0,19,144
103,0,0,0,0,0,88,144
0,0,0,0,0,0,89,145
0,0,0,0,0,0,88,144
0,0,0,0,0,0,89,144
0,0,0,0,0,0,88,143
0,0,0,0,0,124,89,143
0,0,0,0,0,0,87,144
0,0,0,0,0,0,89,143
0,222,0,0,0,0,89,143
153,155,171,0,0,0,59,144
106,64,99,0,0,100,3,143
54,64,0,0,87,68,1,141
78,0,0,0,0,50,42,143
98,0,0,0,100,54,46,141
124,0,0,0,0,103,47,143
0,0,0,0,0,0,132,142
116,0,0,0,0,95,95,143
133,0,0,0,0,85,97,142
100,0,0,0,0,107,91,143
100,0,0,0,0,78,91,140
69,0,0,0,97,69,78,140
104,226,218,0,132,88,32,144
